link,link/_text,link/_title,item_link,item_link/_text,item_link/_title,itemlink_image,itemlink_image/_alt,item_price,priceitem_number,installmentsquantity_number,mesesde_label,text_price,pricetext_number,envogratis_label,envogratis_value,envogratis_value_numbers,distrito_label
"http://articulo.mercadolibre.com.mx/MLM-571496414-videojuego-yoshis-new-island-nintendo-selects-3ds-_JM","Videojuego Yoshi's New Island Nintendo Selects 3ds","","http://articulo.mercadolibre.com.mx/MLM-571496414-videojuego-yoshis-new-island-nintendo-selects-3ds-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_563515-MLM25247909152_122016-H.jpg","Videojuego Yoshi","599","0","12","meses de","59","18","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496274-videojuego-disney-art-academy-nintendo-3ds-gamer-_JM","Videojuego Disney Art Academy Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496274-videojuego-disney-art-academy-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_790515-MLM25247908082_122016-H.jpg","Videojuego Disney Art Academy Nintendo 3ds Gamer","799","0","12","meses de","78","93","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496136-accesorio-control-nintendo-wii-remote-plus-version-yoshi-_JM","Accesorio Control Nintendo Wii Remote Plus Version Yoshi","","http://articulo.mercadolibre.com.mx/MLM-571496136-accesorio-control-nintendo-wii-remote-plus-version-yoshi-_JM","","","https://http2.mlstatic.com/nintendo-wii-u-accesorios-controles-wii-remote-D_Q_NP_224515-MLM25247902786_122016-H.jpg","Accesorio Control Nintendo Wii Remote Plus Version Yoshi","1199","0","12","meses de","118","45","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496175-videojuego-animal-crossing-new-leaf-nintendo-selects-3ds-_JM","Videojuego Animal Crossing New Leaf Nintendo Selects 3ds","","http://articulo.mercadolibre.com.mx/MLM-571496175-videojuego-animal-crossing-new-leaf-nintendo-selects-3ds-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_875515-MLM25247907102_122016-H.jpg","Videojuego Animal Crossing New Leaf Nintendo Selects 3ds","599","0","12","meses de","59","18","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496320-videojuego-luigis-mansion-dark-moon-nintendo-selects-3ds-_JM","Videojuego Luigi's Mansion Dark Moon Nintendo Selects 3ds","","http://articulo.mercadolibre.com.mx/MLM-571496320-videojuego-luigis-mansion-dark-moon-nintendo-selects-3ds-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_705515-MLM25247907213_122016-H.jpg","Videojuego Luigi","599","0","12","meses de","59","18","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496410-videojuego-super-smash-bros-nintendo-wii-u-gamer-_JM","Videojuego Super Smash Bros Nintendo Wii U Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496410-videojuego-super-smash-bros-nintendo-wii-u-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_289515-MLM25247908150_122016-H.jpg","Videojuego Super Smash Bros Nintendo Wii U Gamer","1399","0","12","meses de","138","21","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496253-figura-amiibo-tyu-serie-super-smash-bros-nintendo-wii-u-_JM","Figura Amiibo Tyu Serie Super Smash Bros Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496253-figura-amiibo-tyu-serie-super-smash-bros-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_277515-MLM25247901870_122016-H.jpg","Figura Amiibo Tyu Serie Super Smash Bros Nintendo Wii U","349","0","12","meses de","34","48","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496290-videojuego-carreras-mario-kart-8-nintendo-wii-u-gamer-_JM","Videojuego Carreras Mario Kart 8 Nintendo Wii U Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496290-videojuego-carreras-mario-kart-8-nintendo-wii-u-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_285515-MLM25247907182_122016-H.jpg","Videojuego Carreras Mario Kart 8 Nintendo Wii U Gamer","1399","0","12","meses de","138","21","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-574980118-controles-joy-con-izquierdo-derecho-gris-nintendo-switch-_JM","Controles Joy-con Izquierdo & Derecho Gris Nintendo Switch","","http://articulo.mercadolibre.com.mx/MLM-574980118-controles-joy-con-izquierdo-derecho-gris-nintendo-switch-_JM","","","https://http2.mlstatic.com/nintendos-D_Q_NP_357125-MLM25378527249_022017-H.jpg","Controles Joy-con Izquierdo & Derecho Gris Nintendo Switch","2699","0","12","meses de","266","64","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496397-videojuego-nintendo-land-selects-nintendo-wii-u-gamer-_JM","Videojuego Nintendo Land Selects Nintendo Wii U Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496397-videojuego-nintendo-land-selects-nintendo-wii-u-gamer-_JM","","","https://http2.mlstatic.com/nintendo-wii-u-accesorios-controles-D_Q_NP_613515-MLM25247907248_122016-H.jpg","Videojuego Nintendo Land Selects Nintendo Wii U Gamer","599","0","12","meses de","59","18","Envío gratis","","","Distrito Federal"
